id,amount,payment_date,customer_policy
0,263,10/04/2019,null
0,914,30/08/2019,null
0,656,26/11/2019,null
0,928,27/07/2019,null
0,716,06/07/2019,null
0,916,13/01/2019,null
0,429,21/03/2019,null
0,856,03/03/2019,null
0,977,02/04/2019,null
0,945,14/11/2019,null
0,789,22/11/2019,null
0,676,08/09/2019,null
0,553,11/06/2019,null
0,172,13/12/2019,null
0,471,25/05/2019,null
0,724,23/02/2019,null
0,938,05/01/2019,null
0,404,23/04/2019,null
0,938,31/08/2019,null
0,523,25/04/2019,null
0,503,30/11/2019,null
0,100,22/03/2019,null
0,241,17/04/2019,null
0,685,31/08/2019,null
0,761,11/02/2019,null
0,438,05/05/2019,null
0,832,29/03/2019,null
0,326,25/12/2019,null
0,408,02/03/2019,null
0,635,18/06/2019,null
0,557,27/03/2019,null
0,916,16/07/2019,null
0,302,24/07/2019,null
0,188,23/09/2019,null
0,743,27/02/2019,null
0,697,20/10/2019,null
0,896,06/12/2019,null
0,649,18/08/2019,null
0,848,07/07/2019,null
0,244,30/09/2019,null
0,262,15/07/2019,null
0,514,01/08/2019,null
0,344,08/01/2019,null
0,897,01/08/2019,null
0,707,19/04/2019,null
0,203,26/10/2019,null
0,593,01/04/2019,null
0,841,19/06/2019,null
0,624,06/03/2019,null
0,707,02/06/2019,null
0,881,28/08/2019,null
0,896,18/03/2019,null
0,908,24/05/2019,null
0,158,30/10/2019,null
0,212,18/04/2019,null
0,318,17/05/2019,null
0,346,07/04/2019,null
0,911,14/06/2019,null
0,897,05/11/2019,null
0,870,05/10/2019,null
0,202,23/04/2019,null
0,293,03/10/2019,null
0,466,13/07/2019,null
0,294,14/06/2019,null
0,687,20/05/2019,null
0,842,08/04/2019,null
0,220,26/06/2019,null
0,580,20/05/2019,null
0,613,15/02/2019,null
0,490,14/11/2020,null
0,839,16/01/2020,null
0,173,13/07/2020,null
0,437,13/09/2020,null
0,759,19/02/2020,null
0,680,23/12/2020,null
0,817,09/05/2020,null
0,806,14/08/2020,null
0,565,10/11/2020,null
0,927,07/07/2020,null
0,526,03/01/2020,null
0,345,02/09/2020,null
0,217,01/07/2020,null
0,771,15/06/2020,null
0,746,04/11/2020,null
0,808,02/05/2020,null
0,342,10/03/2020,null
0,981,14/06/2020,null
0,971,21/08/2020,null
0,725,10/09/2020,null
0,522,10/07/2020,null
0,735,30/01/2020,null
0,140,12/09/2020,null
0,283,24/11/2020,null
0,279,13/06/2020,null
0,628,28/01/2020,null
0,424,18/03/2020,null
0,274,17/06/2020,null
0,636,08/04/2020,null
0,259,04/08/2020,null
0,875,14/07/2020,null
0,768,01/02/2020,null
0,352,29/04/2020,null
0,863,19/08/2020,null
0,917,14/07/2020,null
0,218,01/04/2020,null
0,687,13/12/2020,null
0,327,11/04/2020,null
0,272,01/09/2020,null
0,899,07/03/2020,null
0,712,09/03/2020,null
0,122,14/06/2020,null
0,108,10/05/2020,null
0,534,25/02/2020,null
0,572,24/10/2020,null
0,771,10/06/2020,null
0,308,30/06/2020,null
0,720,09/11/2020,null
0,741,14/07/2020,null
0,338,11/06/2020,null
0,725,26/05/2020,null
0,287,16/02/2020,null
0,271,27/12/2020,null
0,705,10/01/2020,null
0,873,04/08/2020,null
0,667,30/08/2020,null
0,829,10/06/2020,null
0,456,27/03/2020,null
0,351,20/04/2020,null
0,280,29/05/2020,null
0,137,03/02/2020,null
0,402,08/01/2020,null
0,690,27/01/2020,null
0,203,11/04/2020,null
0,150,14/07/2020,null
0,118,18/09/2020,null
0,848,28/05/2020,null
0,954,10/02/2020,null
0,407,15/08/2020,null
0,848,12/05/2020,null
0,760,12/12/2020,null
0,840,30/11/2020,null
0,135,19/12/2020,null
0,331,15/06/2020,null
0,197,02/01/2020,null
0,179,24/09/2020,null
0,190,24/04/2020,null
0,494,10/05/2020,null
0,788,02/11/2020,null
0,946,04/09/2020,null
0,950,05/10/2020,null
0,845,12/09/2020,null
0,636,22/06/2020,null
0,194,11/03/2020,null
0,685,12/08/2020,null
0,875,24/04/2020,null
0,112,21/04/2020,null
0,209,28/11/2020,null
0,738,28/08/2020,null
0,834,18/03/2020,null
0,698,13/05/2020,null
0,225,19/05/2020,null
0,335,05/08/2020,null
0,680,28/11/2020,null
0,454,24/09/2020,null
0,837,09/09/2020,null
0,133,09/08/2020,null
0,642,30/04/2020,null
0,870,08/02/2020,null
0,510,10/05/2020,null
0,295,08/01/2020,null
0,118,16/11/2020,null
0,444,27/12/2020,null
0,643,03/11/2020,null
0,159,26/04/2020,null
0,687,08/06/2020,null
0,621,30/08/2020,null
0,590,04/09/2020,null
0,660,12/09/2020,null
0,415,19/07/2020,null
0,871,04/05/2020,null
0,640,19/04/2020,null
0,833,12/12/2020,null
0,152,19/04/2020,null
0,611,05/04/2020,null
0,754,02/08/2020,null
0,320,01/03/2020,null
0,942,03/08/2020,null
0,270,20/08/2020,null
0,474,15/03/2020,null
0,978,28/05/2020,null
0,979,24/08/2020,null
0,992,07/02/2020,null
0,654,16/04/2020,null
0,359,04/05/2020,null
0,849,17/10/2020,null
0,944,07/09/2020,null
0,100,19/11/2020,null
0,807,22/06/2020,null
0,335,09/11/2020,null
0,350,15/03/2020,null
0,387,16/06/2020,null
0,852,23/12/2020,null
0,820,26/11/2020,null
0,413,02/08/2020,null
0,954,30/06/2020,null
0,914,05/04/2020,null
0,574,05/01/2020,null
0,983,02/09/2020,null
0,377,12/10/2020,null
0,757,31/01/2020,null
0,428,16/08/2020,null
0,701,13/04/2020,null
0,331,05/11/2020,null
0,698,23/12/2020,null
0,218,21/01/2020,null
0,449,09/12/2020,null
0,313,16/01/2020,null
0,143,25/08/2020,null
0,247,07/08/2020,null
0,882,22/03/2020,null
0,273,19/12/2020,null
0,687,28/10/2020,null
0,109,29/06/2020,null
0,739,21/03/2020,null
0,407,17/03/2020,null
0,203,06/10/2020,null
0,365,09/05/2020,null
0,505,01/12/2020,null
0,726,07/10/2020,null
0,248,06/09/2020,null
0,623,20/09/2020,null
0,220,17/01/2020,null
0,321,19/05/2020,null
0,851,25/09/2020,null
0,390,27/11/2020,null
0,808,08/07/2020,null
0,989,01/02/2020,null
0,844,02/11/2020,null
0,984,02/12/2020,null
0,626,25/09/2020,null
0,613,27/02/2020,null
0,166,07/02/2020,null
0,455,14/10/2020,null
0,167,15/01/2020,null
0,983,01/03/2020,null
0,321,26/02/2020,null
0,639,10/01/2020,null
0,596,25/11/2020,null
0,649,28/09/2020,null
0,217,22/04/2020,null
0,168,21/07/2020,null
0,435,12/08/2020,null
0,887,29/03/2020,null
0,804,16/01/2020,null
0,330,31/01/2020,null
0,940,05/07/2020,null
0,128,14/12/2020,null
0,465,31/05/2020,null
0,182,10/04/2020,null
0,190,03/01/2020,null
0,616,07/03/2020,null
0,334,30/09/2020,null
0,402,11/07/2020,null
0,540,04/10/2020,null
0,911,14/01/2020,null
0,398,06/06/2020,null
0,920,30/03/2020,null
0,134,14/03/2020,null
0,538,15/03/2020,null
0,735,28/04/2020,null
0,813,03/08/2020,null
0,492,19/07/2020,null
0,368,19/05/2020,null
0,143,17/12/2020,null
0,248,10/05/2020,null
0,781,12/06/2020,null
0,902,16/06/2020,null
0,975,02/11/2020,null
0,394,02/12/2020,null
0,907,21/10/2020,null
0,530,20/07/2020,null
0,749,10/12/2020,null
0,144,24/09/2020,null
0,790,04/09/2020,null
0,829,02/05/2020,null
0,999,03/07/2020,null
0,245,14/10/2020,null
0,650,14/06/2020,null
0,402,23/01/2020,null
0,700,29/09/2020,null
0,260,22/07/2020,null
0,803,04/06/2020,null
0,586,17/11/2020,null
0,730,11/08/2020,null
0,128,08/06/2020,null
0,332,24/01/2020,null
0,799,30/01/2020,null
0,830,13/09/2020,null
0,438,08/08/2020,null
0,124,21/06/2020,null
0,871,28/05/2020,null
0,692,03/07/2020,null
0,745,31/05/2020,null
0,219,20/06/2020,null
0,642,15/03/2020,null
0,174,20/01/2020,null
0,174,29/03/2020,null
0,939,14/05/2020,null
0,772,22/07/2020,null
0,711,28/06/2020,null
0,973,21/09/2020,null
0,265,10/01/2020,null
0,664,12/03/2020,null
0,205,17/05/2020,null
0,412,30/09/2020,null
0,650,18/07/2020,null
0,828,11/04/2020,null
0,565,07/08/2020,null
0,942,09/08/2020,null
0,536,07/07/2020,null
0,353,14/11/2020,null
0,627,10/08/2020,null
0,332,28/11/2020,null
0,390,27/01/2020,null
0,479,14/02/2020,null
0,816,18/11/2020,null
0,469,29/09/2020,null
0,239,13/05/2020,null
0,321,22/12/2020,null
0,334,12/11/2020,null
0,906,04/05/2020,null
0,767,05/09/2020,null
0,702,16/07/2020,null
0,664,06/10/2020,null
0,257,27/07/2020,null
0,322,05/07/2020,null
0,181,02/10/2020,null
0,589,17/04/2020,null
0,773,20/08/2020,null
0,837,10/08/2020,null
0,188,13/08/2020,null
0,146,06/03/2020,null
0,729,05/04/2020,null
0,549,15/04/2020,null
0,595,19/05/2020,null
0,462,13/04/2020,null
0,508,24/03/2020,null
0,903,29/12/2020,null
0,407,29/01/2020,null
0,965,14/03/2020,null
0,597,25/01/2020,null
0,882,03/11/2020,null
0,344,06/05/2020,null
0,869,05/05/2020,null
0,286,25/07/2020,null
0,269,18/06/2020,null
0,488,18/01/2020,null
0,205,17/11/2020,null
0,126,14/07/2020,null
0,680,21/09/2020,null
0,725,30/08/2020,null
0,178,15/06/2020,null
0,887,14/11/2020,null
0,232,12/06/2020,null
0,983,19/02/2020,null
0,690,08/01/2020,null
0,106,27/04/2020,null
0,685,31/10/2020,null
0,236,22/12/2020,null
0,574,31/01/2021,null
0,936,29/08/2021,null
0,474,04/11/2021,null
0,887,16/09/2021,null
0,610,27/05/2021,null
0,647,08/01/2021,null
0,402,12/11/2021,null
0,606,12/10/2021,null
0,640,04/05/2021,null
0,912,10/05/2021,null
0,112,27/06/2021,null
0,441,11/07/2021,null
0,160,17/07/2021,null
0,175,12/08/2021,null
0,204,21/05/2021,null
0,723,10/04/2021,null
0,554,10/02/2021,null
0,195,11/01/2021,null
0,712,24/02/2021,null
0,759,12/01/2021,null
0,316,23/08/2021,null
0,592,15/01/2021,null
0,648,24/08/2021,null
0,921,12/07/2021,null
0,887,13/06/2021,null
0,657,05/05/2021,null
0,616,25/09/2021,null
0,850,25/03/2021,null
0,369,23/07/2021,null
0,884,19/01/2021,null
0,169,20/01/2021,null
0,960,21/08/2021,null
0,530,17/08/2021,null
0,567,29/08/2021,null
0,261,11/09/2021,null
0,703,12/08/2021,null
0,518,16/06/2021,null
0,806,30/01/2021,null
0,243,03/05/2021,null
0,908,09/12/2021,null
0,221,22/06/2021,null
0,944,03/06/2021,null
0,968,10/03/2021,null
0,805,19/05/2021,null
0,908,16/10/2021,null
0,353,18/09/2021,null
0,390,08/07/2021,null
0,826,07/03/2021,null
0,260,24/07/2021,null
0,979,25/01/2021,null
0,790,25/04/2021,null
0,237,28/02/2021,null
0,404,14/01/2021,null
0,426,04/10/2021,null
0,797,27/12/2021,null
0,212,24/11/2021,null
0,969,30/07/2021,null
0,590,25/06/2021,null
0,948,03/10/2021,null
0,741,20/07/2021,null
0,614,11/10/2021,null
0,204,13/07/2021,null
0,966,10/09/2021,null
0,316,17/06/2021,null
0,732,29/12/2021,null
0,370,24/07/2021,null
0,243,25/04/2021,null
0,657,09/09/2021,null
0,805,13/09/2021,null
0,269,15/09/2021,null
0,787,23/08/2021,null
0,232,07/07/2021,null
0,925,25/11/2021,null
0,106,29/06/2021,null
0,866,06/05/2021,null
0,734,19/05/2021,null
0,820,19/06/2021,null
0,297,25/09/2021,null
0,368,01/06/2021,null
0,355,27/06/2021,null
0,791,30/06/2021,null
0,711,06/10/2021,null
0,390,19/09/2021,null
0,787,24/12/2021,null
0,365,10/02/2021,null
0,257,18/02/2021,null
0,384,17/09/2021,null
0,267,29/01/2021,null
0,704,31/01/2021,null
0,154,21/07/2021,null
0,960,05/07/2021,null
0,769,13/04/2021,null
0,436,02/12/2021,null
0,449,05/09/2021,null
0,333,07/12/2021,null
0,518,10/10/2021,null
0,317,20/07/2021,null
0,159,19/01/2021,null
0,777,22/02/2021,null
0,733,19/07/2021,null
0,179,18/01/2021,null
0,787,25/04/2021,null
0,276,06/08/2021,null
0,825,20/08/2021,null
0,213,09/11/2021,null
0,427,24/03/2021,null
0,622,12/03/2021,null
0,954,15/11/2021,null
0,565,23/07/2021,null
0,558,12/12/2021,null
0,312,08/12/2021,null
0,505,23/01/2021,null
0,197,27/07/2021,null
0,676,07/05/2021,null
0,350,19/02/2021,null
0,289,23/04/2021,null
0,628,30/01/2021,null
0,393,17/03/2021,null
0,255,14/04/2021,null
0,495,06/11/2021,null
0,290,01/11/2021,null
0,827,28/03/2021,null
0,324,08/05/2021,null
0,820,11/12/2021,null
0,699,12/01/2021,null
0,642,04/06/2021,null
0,648,18/06/2021,null
0,455,16/02/2021,null
0,153,06/09/2021,null
0,121,30/01/2021,null
0,480,27/01/2021,null
0,585,20/02/2021,null
0,373,27/10/2021,null
0,632,22/08/2021,null
0,102,13/08/2021,null
0,279,17/01/2021,null
0,516,13/11/2021,null
0,236,20/09/2021,null
0,370,30/12/2021,null
0,355,13/03/2021,null
0,556,27/06/2021,null
0,901,19/04/2021,null
0,403,22/07/2021,null
0,708,06/10/2021,null
0,239,20/05/2021,null
0,961,02/06/2021,null
0,740,15/01/2021,null
0,832,12/04/2021,null
0,220,22/04/2021,null
0,880,21/01/2021,null
0,353,17/03/2021,null
0,767,08/05/2021,null
0,536,18/05/2021,null
0,512,12/06/2021,null
0,282,09/01/2021,null
0,256,02/02/2021,null
0,463,25/10/2021,null
0,474,02/09/2021,null
0,131,02/12/2021,null
0,146,28/08/2021,null
0,629,08/06/2021,null
0,354,23/03/2021,null
0,595,23/08/2021,null
0,827,22/07/2021,null
0,806,13/12/2021,null
0,192,09/10/2021,null
0,530,01/12/2021,null
0,244,17/07/2021,null
0,839,13/06/2021,null
0,564,17/11/2021,null
0,892,30/05/2021,null
0,917,15/09/2021,null
0,872,26/02/2021,null
0,829,19/03/2021,null
0,843,09/12/2021,null
0,675,16/11/2021,null
0,292,07/07/2021,null
0,227,06/01/2021,null
0,505,15/06/2021,null
0,530,10/10/2021,null
0,441,22/08/2021,null
0,205,23/07/2021,null
0,548,10/06/2021,null
0,869,09/10/2021,null
0,822,16/03/2021,null
0,491,13/07/2021,null
0,198,02/06/2021,null
0,401,24/08/2021,null
0,666,07/05/2021,null
0,169,25/10/2021,null
0,592,02/01/2021,null
0,813,16/06/2021,null
0,111,29/09/2021,null
0,569,10/04/2021,null
0,914,02/10/2021,null
0,825,26/07/2021,null
0,978,13/05/2021,null
0,716,15/03/2021,null
0,613,26/06/2021,null
0,644,02/03/2021,null
0,109,17/04/2021,null
0,557,29/06/2021,null
0,438,08/08/2021,null
0,888,04/11/2021,null
0,484,11/08/2021,null
0,424,05/04/2021,null
0,359,02/03/2021,null
0,141,09/02/2021,null
0,566,26/10/2021,null
0,185,18/07/2021,null
0,460,21/08/2021,null
0,784,05/02/2021,null
0,555,02/06/2021,null
0,167,30/01/2021,null
0,149,01/02/2021,null
0,175,15/03/2021,null
0,521,14/06/2021,null
0,128,06/08/2021,null
0,668,01/04/2021,null
0,143,05/04/2021,null
0,947,11/08/2021,null
0,448,29/06/2021,null
0,937,15/09/2021,null
0,802,10/10/2021,null
0,289,09/01/2021,null
0,335,15/03/2021,null
0,945,19/10/2021,null
0,898,18/04/2021,null
0,115,15/08/2021,null
0,334,26/04/2021,null
0,666,22/02/2021,null
0,730,14/06/2021,null
0,494,21/10/2021,null
0,994,24/12/2021,null
0,807,16/09/2021,null
0,106,06/12/2021,null
0,807,04/06/2021,null
0,467,14/03/2021,null
0,968,21/03/2021,null
0,218,26/05/2021,null
0,438,01/08/2021,null
0,564,22/04/2021,null
0,103,18/01/2021,null
0,724,06/08/2021,null
0,417,06/12/2021,null
0,183,11/11/2021,null
0,976,12/05/2021,null
0,895,30/09/2021,null
0,419,03/08/2021,null
0,232,22/08/2021,null
0,225,09/06/2021,null
0,387,23/05/2021,null
0,504,29/06/2021,null
0,228,25/05/2021,null
0,377,15/03/2021,null
0,628,24/11/2021,null
0,729,03/06/2021,null
0,642,08/01/2021,null
0,252,20/01/2021,null
0,624,09/01/2021,null
0,738,31/03/2021,null
0,319,28/09/2021,null
0,242,01/03/2021,null
0,953,04/06/2021,null
0,429,07/08/2021,null
0,169,10/11/2021,null
0,575,08/08/2021,null
0,440,05/01/2021,null
0,601,27/05/2021,null
0,550,02/01/2021,null
0,872,20/12/2021,null
0,990,17/02/2021,null
0,714,23/08/2021,null
0,361,26/07/2021,null
0,790,04/03/2021,null
0,495,21/10/2021,null
0,579,08/05/2021,null
0,552,22/12/2021,null
0,421,14/06/2021,null
0,699,14/02/2021,null
0,122,28/02/2021,null
0,354,13/08/2021,null
0,719,12/05/2021,null
0,310,07/12/2021,null
0,215,29/06/2021,null
0,668,26/06/2021,null
0,104,25/05/2021,null
0,136,17/02/2021,null
0,164,17/05/2021,null
0,162,07/05/2021,null
0,901,06/05/2021,null
0,173,06/10/2021,null
0,121,19/10/2021,null
0,904,21/04/2021,null
0,468,14/11/2021,null
0,943,16/09/2021,null
0,526,24/04/2021,null
0,219,21/07/2021,null
0,135,23/09/2021,null
0,387,27/10/2021,null
